"Kreis";"Anteil (< 18 J.) (ARS)";"Anteil (< 18 J.) (Kreis)";"Anteil (< 18 J.) (Ins)";"Anteil (< 18 J.) (Abs)";"Anteil (< 18 J.) (value)"
105;"05913";"Dortmund,Stadt";586852;98732;16.8
106;"05914";"Hagen,Stadt";188713;33997;18
107;"05915";"Hamm,Stadt";179238;31556;17.6
108;"05916";"Herne,Stadt";156621;26227;16.7
109;"05954";"Ennepe-Ruhr-Kreis";322143;50855;15.8
110;"05958";"Hochsauerlandkreis";258615;42396;16.4
111;"05962";"MärkischerKreis";406793;68721;16.9
112;"05966";"Olpe";133120;22761;17.1
113;"05970";"Siegen-Wittgenstein";274342;45714;16.7
114;"05974";"Soest";302298;51681;17.1
115;"05978";"Unna";393063;65032;16.5
116;"06411";"Darmstadt,Stadt";159631;25858;16.2
117;"06412";"FrankfurtamMain,Stadt";759224;129763;17.1
118;"06413";"OffenbachamMain,Stadt";131295;24499;18.7
119;"06414";"Wiesbaden,Stadt";278950;50180;18
120;"06431";"Bergstraße";271166;45090;16.6
121;"06432";"Darmstadt-Dieburg";296900;51714;17.4
122;"06433";"Groß-Gerau";276307;50330;18.2
123;"06434";"Hochtaunuskreis";237041;43130;18.2
124;"06435";"Main-Kinzig-Kreis";423465;72406;17.1
125;"06436";"Main-Taunus-Kreis";239276;43945;18.4
126;"06437";"Odenwaldkreis";96953;15489;16
127;"06438";"Offenbach";357466;63618;17.8
128;"06439";"Rheingau-Taunus-Kreis";187229;30666;16.4
129;"06440";"Wetteraukreis";311661;53414;17.1
130;"06531";"Gießen";272874;44062;16.1
131;"06532";"Lahn-Dill-Kreis";253364;42605;16.8
132;"06533";"Limburg-Weilburg";172759;28777;16.7
133;"06534";"Marburg-Biedenkopf";246097;39471;16
134;"06535";"Vogelsbergkreis";105671;16167;15.3
135;"06611";"Kassel,Stadt";200406;32868;16.4
136;"06633";"Kassel";237268;37929;16
137;"06631";"Fulda";223572;38035;17
138;"06632";"Hersfeld-Rotenburg";120163;19667;16.4
139;"06634";"Schwalm-Eder-Kreis";180052;28636;15.9
140;"06635";"Waldeck-Frankenberg";156513;25428;16.2
141;"06636";"Werra-Meißner-Kreis";99714;15011;15.1
142;"07111";"Koblenz,Stadt";113638;17042;15
143;"07131";"Ahrweiler";128146;20260;15.8
144;"07132";"Altenkirchen(Westerwald)";129261;21776;16.8
145;"07133";"BadKreuznach";159402;26365;16.5
146;"07134";"Birkenfeld";80849;13042;16.1
147;"07135";"Cochem-Zell";61735;9371;15.2
148;"07137";"Mayen-Koblenz";215446;35669;16.6
149;"07138";"Neuwied";184390;31833;17.3
150;"07140";"Rhein-Hunsrück-Kreis";103767;16973;16.4
151;"07141";"Rhein-Lahn-Kreis";122724;19880;16.2
152;"07143";"Westerwaldkreis";203831;34686;17
153;"07211";"Trier,Stadt";110570;16072;14.5
