"Emmendingen;""2.850"";""2.300"";""550"";""19"""
"Emsland;""6.330"";""4.730"";""1.600"";""25"""
"Ennepe-Ruhr-Kreis;""12.190"";""7.490"";""4.700"";""39"""
"Enzkreis;""3.200"";""2.330"";""870"";""27"""
"Erding;""1.960"";""1.630"";""330"";""17"""
"Erfurt, Stadt;""6.820"";""4.740"";""2.080"";""31"""
"Erlangen-Höchstadt;""2.150"";""1.690"";""460"";""21"""
"Erlangen, Stadt;""2.600"";""1.640"";""970"";""37"""
"Erzgebirgskreis;""8.660"";""5.730"";""2.930"";""34"""
"Essen, Stadt;""31.010"";""17.690"";""13.320"";""43"""
"Esslingen;""11.310"";""7.940"";""3.370"";""30"""
"Euskirchen;""5.850"";""3.690"";""2.160"";""37"""
"Flensburg, Stadt;""4.240"";""2.900"";""1.340"";""32"""
"Forchheim;""2.130"";""1.720"";""410"";""19"""
"Frankenthal (Pfalz), kreisfreie Stadt;""1.780"";""1.100"";""680"";""38"""
"Frankfurt (Oder), Stadt;""2.230"";""1.470"";""770"";""34"""
"Frankfurt am Main, Stadt;""25.270"";""16.890"";""8.370"";""33"""
"Freiburg im Breisgau, Stadt;""6.620"";""4.670"";""1.950"";""29"""
"Freising;""3.380"";""2.660"";""720"";""21"""
"Freudenstadt;""2.410"";""1.770"";""640"";""27"""
"Freyung-Grafenau;""1.930"";""1.690"";""250"";""13"""
"Friesland;""2.420"";""1.800"";""620"";""26"""
"Fulda;""4.130"";""3.190"";""940"";""23"""
"Fürstenfeldbruck;""3.980"";""3.060"";""920"";""23"""
"Fürth;""1.950"";""1.410"";""540"";""28"""
"Fürth, Stadt;""3.940"";""2.720"";""1.220"";""31"""
"Garmisch-Partenkirchen;""1.870"";""1.570"";""300"";""16"""
"Gelsenkirchen, Stadt;""19.570"";""11.130"";""8.440"";""43"""
"Gera, Stadt;""3.890"";""2.740"";""1.150"";""30"""
"Germersheim;""2.960"";""2.230"";""730"";""25"""
"Gießen;""7.940"";""5.170"";""2.770"";""35"""
"Gifhorn;""4.620"";""3.100"";""1.520"";""33"""
"Göppingen;""6.200"";""4.680"";""1.520"";""24"""
