"Kreis";"Anteil (60-70 J.) (ARS)";"Anteil (60-70 J.) (Kreis)";"Anteil (60-70 J.) (Ins)";"Anteil (60-70 J.) (Abs)";"Anteil (60-70 J.) (value)"
267;"09461";"Bamberg,Stadt";77749;8641;11.1
268;"09462";"Bayreuth,Stadt";73909;8785;11.9
269;"09463";"Coburg,Stadt";40955;5523;13.5
270;"09464";"Hof,Stadt";45125;6038;13.4
271;"09471";"Bamberg";147697;21135;14.3
272;"09472";"Bayreuth";103648;15526;15
273;"09473";"Coburg";86544;12891;14.9
274;"09474";"Forchheim";116753;16780;14.4
275;"09475";"Hof";93907;14470;15.4
276;"09476";"Kronach";66091;10472;15.8
277;"09477";"Kulmbach";71328;11029;15.5
278;"09478";"Lichtenfels";66741;10031;15
279;"09479";"WunsiedelimFichtelgebirge";71482;11182;15.6
280;"09561";"Ansbach,Stadt";41662;5458;13.1
281;"09562";"Erlangen,Stadt";113292;11540;10.2
282;"09563";"Fürth,Stadt";129122;15463;12
283;"09564";"Nürnberg,Stadt";510632;57365;11.2
284;"09565";"Schwabach,Stadt";41146;5154;12.5
285;"09571";"Ansbach";186279;25781;13.8
286;"09572";"Erlangen-Höchstadt";139323;18928;13.6
287;"09573";"Fürth";119432;16192;13.6
288;"09574";"NürnbergerLand";171424;23419;13.7
289;"09575";"NeustadtanderAisch-BadWinsheim";101788;14498;14.2
290;"09576";"Roth";127520;17488;13.7
291;"09577";"Weißenburg-Gunzenhausen";95523;13629;14.3
292;"09661";"Aschaffenburg,Stadt";71381;9075;12.7
293;"09662";"Schweinfurt,Stadt";53585;7005;13.1
294;"09663";"Würzburg,Stadt";126933;13843;10.9
295;"09671";"Aschaffenburg";174965;25058;14.3
296;"09672";"BadKissingen";103454;15959;15.4
297;"09673";"Rhön-Grabfeld";79376;12075;15.2
298;"09674";"Haßberge";84284;12951;15.4
299;"09675";"Kitzingen";91980;12785;13.9
300;"09676";"Miltenberg";128782;18212;14.1
301;"09677";"Main-Spessart";126105;19324;15.3
302;"09678";"Schweinfurt";116134;17084;14.7
303;"09679";"Würzburg";163534;23685;14.5
304;"09761";"Augsburg,Stadt";296478;32252;10.9
305;"09762";"Kaufbeuren,Stadt";45118;5862;13
306;"09763";"Kempten(Allgäu),Stadt";69053;8168;11.8
307;"09764";"Memmingen,Stadt";44721;5650;12.6
308;"09771";"Aichach-Friedberg";135538;17317;12.8
309;"09772";"Augsburg";257790;33163;12.9
310;"09773";"DillingenanderDonau";97985;13238;13.5
311;"09774";"Günzburg";128436;16876;13.1
312;"09775";"Neu-Ulm";177330;22034;12.4
313;"09776";"Lindau(Bodensee)";82330;10663;13
314;"09777";"Ostallgäu";143236;18714;13.1
315;"09778";"Unterallgäu";147776;18992;12.9
316;"09779";"Donau-Ries";134986;17824;13.2
317;"09780";"Oberallgäu";157202;21046;13.4
318;"10041";"RegionalverbandSaarbrücken";327284;46695;14.3
319;"10042";"Merzig-Wadern";103426;16417;15.9
320;"10043";"Neunkirchen";130847;20767;15.9
321;"10044";"Saarlouis";193661;30970;16
322;"10045";"Saarpfalz-Kreis";140960;22464;15.9
323;"10046";"St.Wendel";86170;14613;17
324;"11000";"Berlin(BL)";3677472;395105;10.7
325;"12051";"BrandenburganderHavel,Stadt";72461;10985;15.2
326;"12052";"Cottbus,Stadt";98359;14912;15.2
327;"12053";"Frankfurt(Oder),Stadt";56679;9362;16.5
328;"12054";"Potsdam,Stadt";183154;20408;11.1
329;"12060";"Barnim";188835;29629;15.7
330;"12061";"Dahme-Spreewald";175834;26416;15
331;"12062";"Elbe-Elster";100317;18255;18.2
332;"12063";"Havelland";165906;24658;14.9
333;"12064";"Märkisch-Oderland";197965;33121;16.7
334;"12065";"Oberhavel";215795;32554;15.1
335;"12066";"Oberspreewald-Lausitz";107558;18477;17.2
336;"12067";"Oder-Spree";179245;30484;17
337;"12068";"Ostprignitz-Ruppin";98829;17811;18
338;"12069";"Potsdam-Mittelmark";219521;34194;15.6
339;"12070";"Prignitz";75574;13696;18.1
340;"12071";"Spree-Neiße";111955;21327;19
341;"12072";"Teltow-Fläming";172545;25281;14.7
342;"12073";"Uckermark";117336;21657;18.5
343;"13003";"Rostock,Stadt";208400;26963;12.9
344;"13004";"Schwerin,Stadt";95740;13928;14.5
345;"13071";"MecklenburgischeSeenplatte";257525;46944;18.2
346;"13072";"Rostock";217796;37620;17.3
347;"13073";"Vorpommern-Rügen";225900;40079;17.7
348;"13074";"Nordwestmecklenburg";158449;26007;16.4
349;"13075";"Vorpommern-Greifswald";235451;41400;17.6
350;"13076";"Ludwigslust-Parchim";211899;37507;17.7
351;"14511";"Chemnitz,Stadt";243105;32128;13.2
352;"14521";"Erzgebirgskreis";328695;55930;17
353;"14522";"Mittelsachsen";299329;48195;16.1
354;"14523";"Vogtlandkreis";221376;36608;16.5
355;"14524";"Zwickau";309621;49260;15.9
356;"14612";"Dresden,Stadt";555351;58205;10.5
357;"14625";"Bautzen";296290;48851;16.5
358;"14626";"Görlitz";248273;42315;17
359;"14627";"Meißen";239344;37819;15.8
360;"14628";"SächsischeSchweiz-Osterzgebirge";244009;36914;15.1
361;"14713";"Leipzig,Stadt";601866;60479;10
362;"14729";"Leipzig,Landkreis";258214;40993;15.9
363;"14730";"Nordsachsen";197529;32591;16.5
364;"15001";"Dessau-Roßlau,Stadt";78731;12634;16
365;"15002";"Halle(Saale),Stadt";238061;28205;11.8
366;"15003";"Magdeburg,Stadt";236188;29723;12.6
367;"15081";"AltmarkkreisSalzwedel";81986;14275;17.4
368;"15082";"Anhalt-Bitterfeld";155900;27065;17.4
369;"15083";"Börde";170106;28910;17
370;"15084";"Burgenlandkreis";176333;30089;17.1
371;"15085";"Harz";209117;35679;17.1
