"Kreis";"Anteil (70-80 J.) (ARS)";"Anteil (70-80 J.) (Kreis)";"Anteil (70-80 J.) (Ins)";"Anteil (70-80 J.) (Abs)";"Anteil (70-80 J.) (value)"
36;"03354";"Lüchow-Dannenberg";48472;5718;11.8
37;"03355";"Lüneburg";185129;15696;8.5
38;"03356";"Osterholz";115054;11777;10.2
39;"03357";"Rotenburg(Wümme)";165001;14687;8.9
40;"03358";"Heidekreis";142912;12843;9
41;"03359";"Stade";206496;19022;9.2
42;"03360";"Uelzen";92894;9415;10.1
43;"03361";"Verden";138507;13329;9.6
44;"03401";"Delmenhorst,Stadt";77522;7265;9.4
45;"03402";"Emden,Stadt";49523;4478;9
46;"03403";"Oldenburg(Oldenburg),Stadt";170389;13653;8
47;"03404";"Osnabrück,Stadt";165034;12136;7.4
48;"03405";"Wilhelmshaven,Stadt";75027;8241;11
49;"03451";"Ammerland";126475;12553;9.9
50;"03452";"Aurich";190425;19677;10.3
51;"03453";"Cloppenburg";173980;11361;6.5
52;"03454";"Emsland";331397;26370;8
53;"03455";"Friesland";98971;11111;11.2
54;"03456";"GrafschaftBentheim";138722;11927;8.6
55;"03457";"Leer";172421;15927;9.2
56;"03458";"Oldenburg,Landkreis";132091;11874;9
57;"03459";"Osnabrück,Landkreis";361550;29864;8.3
58;"03460";"Vechta";144805;9513;6.6
59;"03461";"Wesermarsch";88430;8637;9.8
60;"03462";"Wittmund";57455;6239;10.9
61;"04011";"Bremen,Stadt";563290;48873;8.7
62;"04012";"Bremerhaven,Stadt";113173;10328;9.1
63;"05111";"Düsseldorf,Stadt";619477;48328;7.8
64;"05112";"Duisburg,Stadt";495152;39269;7.9
65;"05113";"Essen,Stadt";579432;49786;8.6
66;"05114";"Krefeld,Stadt";227050;20177;8.9
67;"05116";"Mönchengladbach,Stadt";261001;22404;8.6
68;"05117";"MülheimanderRuhr,Stadt";170739;16114;9.4
69;"05119";"Oberhausen,Stadt";208752;18323;8.8
70;"05120";"Remscheid,Stadt";111770;9839;8.8
71;"05122";"Solingen,Stadt";158957;13350;8.4
72;"05124";"Wuppertal,Stadt";354572;29655;8.4
73;"05154";"Kleve";314676;27114;8.6
74;"05158";"Mettmann";484411;46720;9.6
75;"05162";"Rhein-KreisNeuss";452496;40831;9
76;"05166";"Viersen";298761;27541;9.2
77;"05170";"Wesel";460433;44175;9.6
78;"05314";"Bonn,Stadt";331885;24015;7.2
79;"05315";"Köln,Stadt";1073096;78106;7.3
80;"05316";"Leverkusen,Stadt";163851;13719;8.4
81;"05334";"StädteregionAachen";556673;46514;8.4
82;"05358";"Düren";266771;23460;8.8
83;"05362";"Rhein-Erft-Kreis";471891;42750;9.1
84;"05366";"Euskirchen";194701;17428;9
85;"05370";"Heinsberg";258306;22161;8.6
86;"05374";"OberbergischerKreis";271621;23057;8.5
87;"05378";"Rheinisch-BergischerKreis";283429;26904;9.5
88;"05382";"Rhein-Sieg-Kreis";600732;54070;9
89;"05512";"Bottrop,Stadt";117311;10744;9.2
90;"05513";"Gelsenkirchen,Stadt";260126;21426;8.2
91;"05515";"Münster,Stadt";317713;21437;6.7
92;"05554";"Borken";373582;28663;7.7
93;"05558";"Coesfeld";221352;19169;8.7
94;"05562";"Recklinghausen";612801;57177;9.3
95;"05566";"Steinfurt";450176;35980;8
96;"05570";"Warendorf";278176;23914;8.6
97;"05711";"Bielefeld,Stadt";334002;25598;7.7
98;"05754";"Gütersloh";366104;28441;7.8
99;"05758";"Herford";250635;21564;8.6
100;"05762";"Höxter";139994;12723;9.1
101;"05766";"Lippe";346151;30716;8.9
102;"05770";"Minden-Lübbecke";311214;26801;8.6
103;"05774";"Paderborn";309380;22784;7.4
104;"05911";"Bochum,Stadt";363441;32144;8.8
105;"05913";"Dortmund,Stadt";586852;47980;8.2
106;"05914";"Hagen,Stadt";188713;16440;8.7
107;"05915";"Hamm,Stadt";179238;15194;8.5
108;"05916";"Herne,Stadt";156621;13686;8.7
109;"05954";"Ennepe-Ruhr-Kreis";322143;31387;9.7
110;"05958";"Hochsauerlandkreis";258615;22724;8.8
111;"05962";"MärkischerKreis";406793;36224;8.9
112;"05966";"Olpe";133120;10987;8.3
113;"05970";"Siegen-Wittgenstein";274342;24032;8.8
114;"05974";"Soest";302298;25873;8.6
115;"05978";"Unna";393063;36731;9.3
116;"06411";"Darmstadt,Stadt";159631;11519;7.2
117;"06412";"FrankfurtamMain,Stadt";759224;50515;6.7
118;"06413";"OffenbachamMain,Stadt";131295;8965;6.8
119;"06414";"Wiesbaden,Stadt";278950;23299;8.4
120;"06431";"Bergstraße";271166;25608;9.4
121;"06432";"Darmstadt-Dieburg";296900;27184;9.2
122;"06433";"Groß-Gerau";276307;22561;8.2
123;"06434";"Hochtaunuskreis";237041;22527;9.5
124;"06435";"Main-Kinzig-Kreis";423465;38862;9.2
125;"06436";"Main-Taunus-Kreis";239276;21312;8.9
126;"06437";"Odenwaldkreis";96953;9553;9.9
127;"06438";"Offenbach";357466;32099;9
128;"06439";"Rheingau-Taunus-Kreis";187229;18602;9.9
129;"06440";"Wetteraukreis";311661;27537;8.8
130;"06531";"Gießen";272874;21894;8
131;"06532";"Lahn-Dill-Kreis";253364;23098;9.1
132;"06533";"Limburg-Weilburg";172759;15435;8.9
133;"06534";"Marburg-Biedenkopf";246097;19768;8
134;"06535";"Vogelsbergkreis";105671;10235;9.7
135;"06611";"Kassel,Stadt";200406;16277;8.1
136;"06633";"Kassel";237268;24931;10.5
137;"06631";"Fulda";223572;18630;8.3
138;"06632";"Hersfeld-Rotenburg";120163;11722;9.8
139;"06634";"Schwalm-Eder-Kreis";180052;17196;9.6
140;"06635";"Waldeck-Frankenberg";156513;14680;9.4
141;"06636";"Werra-Meißner-Kreis";99714;10493;10.5
142;"07111";"Koblenz,Stadt";113638;9692;8.5
143;"07131";"Ahrweiler";128146;12663;9.9
144;"07132";"Altenkirchen(Westerwald)";129261;11693;9
145;"07133";"BadKreuznach";159402;15536;9.7
146;"07134";"Birkenfeld";80849;7639;9.4
147;"07135";"Cochem-Zell";61735;6037;9.8
148;"07137";"Mayen-Koblenz";215446;19155;8.9
149;"07138";"Neuwied";184390;16508;9
150;"07140";"Rhein-Hunsrück-Kreis";103767;9598;9.2
151;"07141";"Rhein-Lahn-Kreis";122724;12020;9.8
152;"07143";"Westerwaldkreis";203831;17633;8.7
153;"07211";"Trier,Stadt";110570;7737;7
154;"07231";"Bernkastel-Wittlich";113194;10282;9.1
155;"07232";"Bitburg-Prüm";100959;8166;8.1
156;"07233";"Vulkaneifel";60882;5901;9.7
157;"07235";"Trier-Saarburg";151167;12256;8.1
158;"07311";"Frankenthal(Pfalz),Stadt";48773;4362;8.9
159;"07312";"Kaiserslautern,Stadt";99292;8169;8.2
160;"07313";"LandauinderPfalz,Stadt";46919;3740;8
161;"07314";"LudwigshafenamRhein,Stadt";172145;12912;7.5
162;"07315";"Mainz,Stadt";217556;15785;7.3
163;"07316";"NeustadtanderWeinstraße,Stadt";53491;5094;9.5
164;"07317";"Pirmasens,Stadt";40054;3839;9.6
165;"07318";"Speyer,Stadt";50565;4679;9.3
166;"07319";"Worms,Stadt";83850;6992;8.3
167;"07320";"Zweibrücken,Stadt";34091;3079;9
168;"07331";"Alzey-Worms";131330;11156;8.5
169;"07332";"BadDürkheim";133206;13757;10.3
170;"07333";"Donnersbergkreis";75569;6721;8.9
171;"07334";"Germersheim";129313;10639;8.2
172;"07335";"Kaiserslautern,Landkreis";106853;9283;8.7
173;"07336";"Kusel";69949;6729;9.6
174;"07337";"SüdlicheWeinstraße";111279;10767;9.7
175;"07338";"Rhein-Pfalz-Kreis";155050;14589;9.4
176;"07339";"Mainz-Bingen";212420;18995;8.9
177;"07340";"Südwestpfalz";94819;9413;9.9
178;"08111";"Stuttgart,Stadt";626275;45630;7.3
179;"08115";"Böblingen";393195;32592;8.3
180;"08116";"Esslingen";533388;45069;8.4
181;"08117";"Göppingen";259046;22855;8.8
182;"08118";"Ludwigsburg";544679;44518;8.2
183;"08119";"Rems-Murr-Kreis";427316;36754;8.6
184;"08121";"Heilbronn,Stadt";125613;9718;7.7
185;"08125";"Heilbronn";347798;27812;8
186;"08126";"Hohenlohekreis";113318;8898;7.9
187;"08127";"SchwäbischHall";199398;15540;7.8
188;"08128";"Main-Tauber-Kreis";132956;12332;9.3
189;"08135";"Heidenheim";132958;11501;8.7
190;"08136";"Ostalbkreis";315009;26524;8.4
191;"08211";"Baden-Baden,Stadt";55527;5932;10.7
192;"08212";"Karlsruhe,Stadt";306502;23189;7.6
193;"08215";"Karlsruhe";448487;39333;8.8
194;"08216";"Rastatt";232296;20196;8.7
195;"08221";"Heidelberg,Stadt";159245;10919;6.9
196;"08222";"Mannheim,Stadt";311831;23103;7.4
197;"08225";"Neckar-Odenwald-Kreis";143929;12788;8.9
198;"08226";"Rhein-Neckar-Kreis";549030;50009;9.1
199;"08231";"Pforzheim,Stadt";125529;9985;8
200;"08235";"Calw";160686;13412;8.3
201;"08236";"Enzkreis";200237;17343;8.7
202;"08237";"Freudenstadt";119183;9766;8.2
203;"08311";"FreiburgimBreisgau,Stadt";231848;15632;6.7
204;"08315";"Breisgau-Hochschwarzwald";265792;24170;9.1
205;"08316";"Emmendingen";167945;14579;8.7
206;"08317";"Ortenaukreis";434535;35797;8.2
207;"08325";"Rottweil";140446;11858;8.4
208;"08326";"Schwarzwald-Baar-Kreis";213385;18876;8.8
209;"08327";"Tuttlingen";142414;10806;7.6
210;"08335";"Konstanz";288097;24705;8.6
211;"08336";"Lörrach";229445;18894;8.2
212;"08337";"Waldshut";171249;14825;8.7
213;"08415";"Reutlingen";288158;23610;8.2
214;"08416";"Tübingen";229806;16434;7.2
215;"08417";"Zollernalbkreis";190545;16521;8.7
216;"08421";"Ulm,Stadt";126949;9620;7.6
217;"08425";"Alb-Donau-Kreis";199732;15467;7.7
218;"08426";"Biberach";203244;15333;7.5
219;"08435";"Bodenseekreis";218885;21105;9.6
220;"08436";"Ravensburg";287011;23865;8.3
221;"08437";"Sigmaringen";131725;10790;8.2
222;"09161";"Ingolstadt,Stadt";138016;10224;7.4
223;"09162";"München,Stadt";1487708;110835;7.5
224;"09163";"Rosenheim,Stadt";63508;5570;8.8
225;"09171";"Altötting";112116;10049;9
226;"09172";"BerchtesgadenerLand";106389;10658;10
227;"09173";"BadTölz-Wolfratshausen";127919;11595;9.1
228;"09174";"Dachau";155449;12247;7.9
229;"09175";"Ebersberg";144562;11196;7.7
230;"09176";"Eichstätt";133634;9605;7.2
231;"09177";"Erding";139622;9995;7.2
232;"09178";"Freising";181144;12273;6.8
233;"09179";"Fürstenfeldbruck";218579;20325;9.3
234;"09180";"Garmisch-Partenkirchen";88232;9310;10.6
235;"09181";"Landsberga.Lech";121466;10576;8.7
236;"09182";"Miesbach";99978;9678;9.7
237;"09183";"Mühldorfa.Inn";117606;9855;8.4
238;"09184";"München";349837;30552;8.7
239;"09185";"Neuburg-Schrobenhausen";98503;7851;8
240;"09186";"Pfaffenhofena.d.Ilm";129772;9806;7.6
241;"09187";"Rosenheim";263367;24567;9.3
242;"09188";"Starnberg";136747;13602;9.9
243;"09189";"Traunstein";178447;17171;9.6
244;"09190";"Weilheim-Schongau";136642;12515;9.2
245;"09261";"Landshut,Stadt";73150;6242;8.5
246;"09262";"Passau,Stadt";53093;4810;9.1
247;"09263";"Straubing,Stadt";47854;4304;9
248;"09271";"Deggendorf";120521;10486;8.7
249;"09272";"Freyung-Grafenau";78632;7125;9.1
250;"09273";"Kelheim";123899;9549;7.7
251;"09274";"Landshut";162331;12897;7.9
252;"09275";"Passau";194090;18495;9.5
253;"09276";"Regen";77176;7390;9.6
254;"09277";"Rottal-Inn";122252;10840;8.9
255;"09278";"Straubing-Bogen";102398;8378;8.2
256;"09279";"Dingolfing-Landau";98045;7678;7.8
257;"09361";"Amberg,Stadt";41994;3889;9.3
258;"09362";"Regensburg,Stadt";153542;10762;7
259;"09363";"WeideninderOberpfalz,Stadt";42472;4002;9.4
260;"09371";"Amberg-Sulzbach";103277;8636;8.4
261;"09372";"Cham";128444;11272;8.8
262;"09373";"NeumarktinderOberpfalz";136062;10563;7.8
263;"09374";"NeustadtanderWaldnaab";94838;8072;8.5
264;"09375";"Regensburg";195225;16221;8.3
265;"09376";"Schwandorf";149239;12416;8.3
266;"09377";"Tirschenreuth";71648;6548;9.1
267;"09461";"Bamberg,Stadt";77749;6002;7.7
268;"09462";"Bayreuth,Stadt";73909;6601;8.9
269;"09463";"Coburg,Stadt";40955;3949;9.6
270;"09464";"Hof,Stadt";45125;4557;10.1
271;"09471";"Bamberg";147697;11599;7.9
272;"09472";"Bayreuth";103648;9538;9.2
273;"09473";"Coburg";86544;8162;9.4
274;"09474";"Forchheim";116753;9918;8.5
275;"09475";"Hof";93907;9665;10.3
276;"09476";"Kronach";66091;6428;9.7
277;"09477";"Kulmbach";71328;7120;10
278;"09478";"Lichtenfels";66741;6064;9.1
279;"09479";"WunsiedelimFichtelgebirge";71482;7671;10.7
280;"09561";"Ansbach,Stadt";41662;3583;8.6
281;"09562";"Erlangen,Stadt";113292;7959;7
282;"09563";"Fürth,Stadt";129122;9962;7.7
283;"09564";"Nürnberg,Stadt";510632;42548;8.3
284;"09565";"Schwabach,Stadt";41146;3757;9.1
285;"09571";"Ansbach";186279;14727;7.9
286;"09572";"Erlangen-Höchstadt";139323;12130;8.7
287;"09573";"Fürth";119432;11506;9.6
288;"09574";"NürnbergerLand";171424;16086;9.4
289;"09575";"NeustadtanderAisch-BadWinsheim";101788;8623;8.5
290;"09576";"Roth";127520;11120;8.7
291;"09577";"Weißenburg-Gunzenhausen";95523;8405;8.8
292;"09661";"Aschaffenburg,Stadt";71381;6140;8.6
293;"09662";"Schweinfurt,Stadt";53585;4957;9.3
294;"09663";"Würzburg,Stadt";126933;9811;7.7
295;"09671";"Aschaffenburg";174965;15588;8.9
296;"09672";"BadKissingen";103454;10157;9.8
297;"09673";"Rhön-Grabfeld";79376;6994;8.8
298;"09674";"Haßberge";84284;7278;8.6
299;"09675";"Kitzingen";91980;7695;8.4
300;"09676";"Miltenberg";128782;11206;8.7
301;"09677";"Main-Spessart";126105;11811;9.4
302;"09678";"Schweinfurt";116134;10095;8.7
303;"09679";"Würzburg";163534;14762;9
304;"09761";"Augsburg,Stadt";296478;23636;8
305;"09762";"Kaufbeuren,Stadt";45118;4134;9.2
306;"09763";"Kempten(Allgäu),Stadt";69053;6450;9.3
307;"09764";"Memmingen,Stadt";44721;3875;8.7
308;"09771";"Aichach-Friedberg";135538;11377;8.4
309;"09772";"Augsburg";257790;22317;8.7
310;"09773";"DillingenanderDonau";97985;8116;8.3
311;"09774";"Günzburg";128436;10229;8
312;"09775";"Neu-Ulm";177330;14948;8.4
313;"09776";"Lindau(Bodensee)";82330;7739;9.4
314;"09777";"Ostallgäu";143236;12910;9
315;"09778";"Unterallgäu";147776;12833;8.7
316;"09779";"Donau-Ries";134986;10988;8.1
317;"09780";"Oberallgäu";157202;15264;9.7
318;"10041";"RegionalverbandSaarbrücken";327284;30805;9.4
319;"10042";"Merzig-Wadern";103426;9388;9.1
320;"10043";"Neunkirchen";130847;12731;9.7
321;"10044";"Saarlouis";193661;18587;9.6
322;"10045";"Saarpfalz-Kreis";140960;14009;9.9
323;"10046";"St.Wendel";86170;8591;10
324;"11000";"Berlin(BL)";3677472;295823;8
325;"12051";"BrandenburganderHavel,Stadt";72461;7533;10.4
326;"12052";"Cottbus,Stadt";98359;9856;10
327;"12053";"Frankfurt(Oder),Stadt";56679;5707;10.1
328;"12054";"Potsdam,Stadt";183154;13917;7.6
329;"12060";"Barnim";188835;17826;9.4
330;"12061";"Dahme-Spreewald";175834;15913;9.1
331;"12062";"Elbe-Elster";100317;10944;10.9
332;"12063";"Havelland";165906;14978;9
333;"12064";"Märkisch-Oderland";197965;18118;9.2
334;"12065";"Oberhavel";215795;19542;9.1
335;"12066";"Oberspreewald-Lausitz";107558;12155;11.3
336;"12067";"Oder-Spree";179245;18318;10.2
337;"12068";"Ostprignitz-Ruppin";98829;9836;10
338;"12069";"Potsdam-Mittelmark";219521;19670;9
339;"12070";"Prignitz";75574;8076;10.7
340;"12071";"Spree-Neiße";111955;12357;11
341;"12072";"Teltow-Fläming";172545;14949;8.7
342;"12073";"Uckermark";117336;12931;11
343;"13003";"Rostock,Stadt";208400;19084;9.2
344;"13004";"Schwerin,Stadt";95740;9665;10.1
345;"13071";"MecklenburgischeSeenplatte";257525;26128;10.1
346;"13072";"Rostock";217796;20821;9.6
347;"13073";"Vorpommern-Rügen";225900;22880;10.1
348;"13074";"Nordwestmecklenburg";158449;14940;9.4
349;"13075";"Vorpommern-Greifswald";235451;23135;9.8
350;"13076";"Ludwigslust-Parchim";211899;19939;9.4
351;"14511";"Chemnitz,Stadt";243105;28573;11.8
352;"14521";"Erzgebirgskreis";328695;41129;12.5
353;"14522";"Mittelsachsen";299329;34136;11.4
354;"14523";"Vogtlandkreis";221376;27583;12.5
355;"14524";"Zwickau";309621;37731;12.2
356;"14612";"Dresden,Stadt";555351;48439;8.7
357;"14625";"Bautzen";296290;31778;10.7
358;"14626";"Görlitz";248273;29320;11.8
359;"14627";"Meißen";239344;25751;10.8
360;"14628";"SächsischeSchweiz-Osterzgebirge";244009;26877;11
361;"14713";"Leipzig,Stadt";601866;47434;7.9
362;"14729";"Leipzig,Landkreis";258214;27671;10.7
363;"14730";"Nordsachsen";197529;19719;10
364;"15001";"Dessau-Roßlau,Stadt";78731;10219;13
365;"15002";"Halle(Saale),Stadt";238061;24092;10.1
366;"15003";"Magdeburg,Stadt";236188;23571;10
367;"15081";"AltmarkkreisSalzwedel";81986;7779;9.5
368;"15082";"Anhalt-Bitterfeld";155900;17504;11.2
369;"15083";"Börde";170106;16492;9.7
370;"15084";"Burgenlandkreis";176333;19327;11
371;"15085";"Harz";209117;24502;11.7
372;"15086";"JerichowerLand";89118;9148;10.3
373;"15087";"Mansfeld-Südharz";132317;16062;12.1
374;"15088";"Saalekreis";182814;19499;10.7
375;"15089";"Salzlandkreis";185495;21207;11.4
376;"15090";"Stendal";109746;11333;10.3
377;"15091";"Wittenberg";123341;14117;11.4
378;"16051";"Erfurt,Stadt";213227;19889;9.3
379;"16052";"Gera,Stadt";91368;10918;11.9
380;"16053";"Jena,Stadt";110502;9797;8.9
381;"16054";"Suhl,Stadt";36054;5134;14.2
382;"16055";"Weimar,Stadt";65138;6188;9.5
383;"16061";"Eichsfeld";99324;9894;10
384;"16062";"Nordhausen";81687;8997;11
385;"16063";"Wartburgkreis";158900;16743;10.5
386;"16064";"Unstrut-Hainich-Kreis";101269;10110;10
387;"16065";"Kyffhäuserkreis";72964;8216;11.3
388;"16066";"Schmalkalden-Meiningen";123404;13332;10.8
389;"16067";"Gotha";133825;13945;10.4
390;"16068";"Sömmerda";68717;7215;10.5
391;"16069";"Hildburghausen";62089;6224;10
392;"16070";"Ilm-Kreis";105367;11343;10.8
393;"16071";"WeimarerLand";82103;8528;10.4
394;"16072";"Sonneberg";56504;6312;11.2
395;"16073";"Saalfeld-Rudolstadt";100969;11689;11.6
396;"16074";"Saale-Holzland-Kreis";82513;9073;11
397;"16075";"Saale-Orla-Kreis";79030;8403;10.6
398;"16076";"Greiz";96102;11178;11.6
399;"16077";"AltenburgerLand";87807;10938;12.5
