"Kreis";"Anteil (70-80 J.) (ARS)";"Anteil (70-80 J.) (Kreis)";"Anteil (70-80 J.) (Ins)";"Anteil (70-80 J.) (Abs)";"Anteil (70-80 J.) (value)"
0;"01001";"Flensburg,Stadt";91113;7687;8.4
1;"01002";"Kiel,Stadt";246243;19259;7.8
2;"01003";"Lübeck,Stadt";216277;20786;9.6
3;"01004";"Neumünster,Stadt";79496;7437;9.4
4;"01051";"Dithmarschen";133969;14164;10.6
5;"01053";"HerzogtumLauenburg";200819;18159;9
6;"01054";"Nordfriesland";167560;17191;10.3
7;"01055";"Ostholstein";202014;23890;11.8
8;"01056";"Pinneberg";318326;29518;9.3
9;"01057";"Plön";129687;14718;11.3
10;"01058";"Rendsburg-Eckernförde";276053;27773;10.1
11;"01059";"Schleswig-Flensburg";203799;20917;10.3
12;"01060";"Segeberg";280400;26150;9.3
13;"01061";"Steinburg";130843;12433;9.5
14;"01062";"Stormarn";245406;23524;9.6
15;"02000";"Hamburg(BL)";1853935;139176;7.5
16;"03101";"Braunschweig,Stadt";248823;21030;8.5
17;"03102";"Salzgitter,Stadt";103694;9666;9.3
18;"03103";"Wolfsburg,Stadt";123949;10578;8.5
19;"03151";"Gifhorn";177919;14797;8.3
20;"03153";"Goslar";134050;15045;11.2
21;"03154";"Helmstedt";91379;8567;9.4
22;"03155";"Northeim";131765;13422;10.2
23;"03157";"Peine";136960;11832;8.6
24;"03158";"Wolfenbüttel";119224;11756;9.9
25;"03159";"Göttingen";323661;30343;9.4
26;"03241";"RegionHannover";1157541;98939;8.5
27;"03251";"Diepholz";218839;20245;9.3
28;"03252";"Hameln-Pyrmont";148963;14924;10
29;"03254";"Hildesheim";274773;26096;9.5
30;"03255";"Holzminden";69862;7347;10.5
31;"03256";"Nienburg(Weser)";121773;10848;8.9
32;"03257";"Schaumburg";158108;15815;10
33;"03351";"Celle";179915;17424;9.7
34;"03352";"Cuxhaven";199603;21767;10.9
35;"03353";"Harburg";257548;24674;9.6
